timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z
2026-06-19T10:46:59.069699,0.281,0.029,-1.093,0.45,0.511,-1.923
2026-06-19T10:46:59.176334,0.29,0.029,-1.099,1.007,0.587,0.458
2026-06-19T10:46:59.282804,0.286,0.039,-1.104,0.885,0.648,0.366
2026-06-19T10:46:59.389296,0.288,0.037,-1.103,0.885,0.083,0.083
2026-06-19T10:46:59.495774,0.29,0.031,-1.088,1.007,0.587,0.267
2026-06-19T10:46:59.602275,0.291,0.034,-1.101,0.839,0.251,1.854
2026-06-19T10:46:59.708841,0.287,0.036,-1.1,0.763,0.282,1.946
2026-06-19T10:46:59.815359,0.289,0.033,-1.08,0.763,0.114,0.038
2026-06-19T10:46:59.921787,0.287,0.032,-1.092,0.877,0.503,0.511
2026-06-19T10:47:00.028149,0.29,0.034,-1.108,0.824,0.748,0.16
2026-06-19T10:47:00.134553,0.295,0.03,-1.093,0.786,0.435,0.45
2026-06-19T10:47:00.240919,0.289,0.035,-1.092,0.87,0.458,0.091
2026-06-19T10:47:00.347311,0.291,0.031,-1.099,1.137,0.167,0.48
2026-06-19T10:47:00.453664,0.29,0.036,-1.101,0.748,0.305,0.16
2026-06-19T10:47:00.559997,0.292,0.031,-1.095,0.694,0.488,0.106
2026-06-19T10:47:00.666381,0.29,0.033,-1.095,0.954,0.396,0.244
2026-06-19T10:47:00.772755,0.286,0.034,-1.106,0.732,0.45,0.312
2026-06-19T10:47:00.879214,0.29,0.033,-1.099,0.557,0.465,0.267
2026-06-19T10:47:00.985628,0.293,0.031,-1.096,0.687,0.32,0.419
2026-06-19T10:47:01.092069,0.289,0.035,-1.098,0.755,0.496,0.213
2026-06-19T10:47:01.198515,0.288,0.038,-1.099,0.74,0.412,0.198
2026-06-19T10:47:01.304935,0.29,0.035,-1.108,0.74,0.473,0.183
2026-06-19T10:47:01.411379,0.29,0.032,-1.099,0.74,0.541,0.358
2026-06-19T10:47:01.517775,0.296,0.046,-1.098,0.9,0.496,0.053
2026-06-19T10:47:01.624172,0.288,0.035,-1.093,0.801,0.389,0.282
2026-06-19T10:47:01.730621,0.291,0.036,-1.099,0.572,0.396,0.343
2026-06-19T10:47:01.837026,0.288,0.035,-1.079,0.717,0.45,0.465
2026-06-19T10:47:01.943497,0.285,0.038,-1.094,0.671,0.343,0.328
2026-06-19T10:47:02.049892,0.287,0.039,-1.105,0.641,0.274,0.358
2026-06-19T10:47:02.156369,0.293,0.038,-1.095,0.526,0.038,0.152
2026-06-19T10:47:02.262962,0.287,0.034,-1.093,1.083,0.709,0.488
2026-06-19T10:47:02.369505,0.288,0.034,-1.099,0.671,0.442,0.175
2026-06-19T10:47:02.476017,0.289,0.033,-1.082,0.839,0.694,0.022
2026-06-19T10:47:02.582497,0.286,0.035,-1.1,0.885,0.183,0.389
2026-06-19T10:47:02.689023,0.29,0.033,-1.095,1.114,0.786,0.511
2026-06-19T10:47:02.795522,0.292,0.046,-1.098,0.938,0.267,0.473
2026-06-19T10:47:02.902012,0.291,0.033,-1.097,0.725,0.29,0.251
2026-06-19T10:47:03.008549,0.288,0.031,-1.092,0.564,0.45,0.671
2026-06-19T10:47:03.115011,0.282,0.039,-1.098,0.992,0.167,0.251
2026-06-19T10:47:03.221538,0.288,0.037,-1.093,1.083,0.389,0.328
2026-06-19T10:47:03.328027,0.287,0.033,-1.094,0.931,0.328,0.19
2026-06-19T10:47:03.434541,0.291,0.046,-1.091,1.145,0.32,0.381
2026-06-19T10:47:03.541029,0.287,0.031,-1.089,0.77,0.137,0.282
2026-06-19T10:47:03.647557,0.29,0.032,-1.096,0.824,0.297,0.083
